id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
846221,Town and Mountain Peaceful Retreat,35.64271,-82.51219,28804,Asheville,House,Entire home/apt,3,1.5,137.0,2012-12-16,t,1,2,107,94.0,f,strict_14_with_grace_period
874008,"Sunset Cottage - year round views, 3 mi to DT AVL",35.63012,-82.5183,28804,Asheville,House,Entire home/apt,2,1.0,175.0,2012-10-02,t,2,3,7,97.0,f,strict_14_with_grace_period
875735,Asheville artist  bungalow. 3 minutes to downtown,35.58617,-82.50657,28805,Asheville,House,Private room,1,1.0,65.0,2013-01-08,f,1,1,118,92.0,f,moderate
881707,West A'ville sanctuary in the trees,35.56893,-82.59475,28806,Asheville,Guest suite,Entire home/apt,0,1.0,95.0,2013-01-11,t,1,3,576,97.0,f,moderate
942934,"""ZenShe"" Private Guest Quarters and Entrance",35.57312,-82.59092,28806,Asheville,House,Private room,1,1.0,62.0,2013-02-15,t,1,1,478,99.0,f,moderate
943832,"Asheville Cottage, Walk To Town, 30 Days",35.6117,-82.57668000000001,28801,Asheville,House,Entire home/apt,3,2.0,250.0,2013-02-16,f,4,3,104,93.0,f,strict_14_with_grace_period
971003,Montford Home 1.5 mi to DownTown,35.605,-82.57262,28801,Asheville,House,Entire home/apt,2,1.0,145.0,2013-03-03,f,2,3,155,98.0,f,flexible
976034,Urban Peace 5 ml from Downtown AVL,35.555440000000004,-82.48361,28803,Asheville,Apartment,Entire home/apt,1,1.0,145.0,2013-03-05,f,1,2,163,99.0,f,strict_14_with_grace_period
977054,The Cottage In Asheville,35.6157,-82.55594,28804,Asheville,Guesthouse,Entire home/apt,1,1.0,130.0,2012-12-02,f,2,30,80,99.0,f,strict_14_with_grace_period
990426,VibeofAsheville-Interactive/Immersive Installation,35.59789,-82.55547,28801,Asheville,Loft,Entire home/apt,2,1.0,355.0,2011-03-07,t,2,1,67,96.0,t,super_strict_60
992821,Serene West Asheville Home,35.56922,-82.64731,28715,Candler,House,Entire home/apt,2,1.0,95.0,2013-03-13,t,4,2,79,98.0,t,moderate
1039028,The Cottage on Parkway Loop,35.55144,-82.49132,28803,Asheville,Tiny house,Entire home/apt,1,1.5,90.0,2012-11-13,t,2,2,198,100.0,t,moderate
1066156,Blend City and Country at Lucky W Cottage,35.6461,-82.51605,28804,Asheville,Cottage,Entire home/apt,1,1.0,135.0,2013-01-24,t,2,2,464,100.0,f,moderate
