neighbourhood,listings,avgprice,avgrating
Arden-28704,120,164.60833333333332,97.91666666666667
Candler-28715,43,123.67441860465117,97.6046511627907
Fletcher-28732,45,157.2,97.84444444444445
Asheville-28801,502,190.38645418326692,97.38247011952191
Asheville-28803,310,148.30322580645162,98.18064516129033
Asheville-28804,266,153.08646616541353,97.6015037593985
Asheville-28805,255,130.90980392156862,98.03137254901961
Asheville-28806,630,116.49047619047619,97.56825396825397
