id,latitude,longitude,neighbourhood_cleansed,city,zipcode,property_type,room_type,accommodates,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
12543684,35.553709999999995,-82.47744,28803,Asheville,28803.0,House,Entire home/apt,10,3,2.0,350.0,2016-04-19,t,8,2,333,97.0,t,moderate
12587092,35.49374,-82.51547,28803,Asheville,28803.0,Guest suite,Private room,5,1,1.5,43.0,2015-04-13,f,2,3,24,97.0,t,moderate
12599311,35.58465,-82.59118000000001,28806,Asheville,28806.0,Guest suite,Private room,2,1,1.0,49.0,2011-04-05,t,2,1,410,98.0,t,flexible
12600829,35.58452,-82.58999,28806,Asheville,28806.0,Guest suite,Private room,5,2,1.0,89.0,2011-04-05,t,5,1,228,96.0,t,flexible
12600850,35.58435,-82.59184,28806,Asheville,28806.0,Guest suite,Private room,3,1,1.0,49.0,2011-04-05,t,3,1,325,99.0,t,flexible
12615474,35.58509,-82.55122,28801,Asheville,28801.0,House,Private room,2,1,1.0,67.0,2015-08-31,t,1,2,86,94.0,t,moderate
12685614,35.614940000000004,-82.5414,28801,Asheville,28801.0,Apartment,Entire home/apt,3,1,1.0,125.0,2015-10-10,t,1,30,24,97.0,t,flexible
12761982,35.6333,-82.57949,28804,Asheville,28804.0,House,Private room,2,1,1.0,40.0,2016-04-10,f,1,30,47,84.0,f,moderate
12763722,35.51462,-82.6508,28715,Candler,28715.0,Cottage,Entire home/apt,7,3,1.0,150.0,2014-05-20,t,1,1,378,94.0,t,strict_14_with_grace_period
12782770,35.5786,-82.53905999999999,28803,Asheville,28803.0,Guest suite,Entire home/apt,4,1,1.0,100.0,2016-04-29,t,1,2,120,97.0,f,moderate
12809255,35.57484,-82.60454,28806,Asheville,28806.0,House,Private room,2,1,1.0,60.0,2016-05-01,t,1,1,83,100.0,f,flexible
12810440,35.57363,-82.59925,28806,Asheville,28806.0,Apartment,Entire home/apt,2,1,1.0,66.0,2016-05-01,t,2,1,171,97.0,t,strict_14_with_grace_period
12834984,35.608979999999995,-82.55764,28801,Asheville,28801.0,House,Entire home/apt,2,1,1.0,150.0,2016-04-28,f,1,30,139,98.0,f,strict_14_with_grace_period
12835184,35.5825,-82.55976,28801,Asheville,28801.0,Guesthouse,Entire home/apt,2,1,1.0,75.0,2013-08-11,f,1,2,162,95.0,t,flexible
12848084,35.44921,-82.48841,28732,Fletcher,28732.0,Apartment,Entire home/apt,4,1,1.5,90.0,2016-05-03,t,2,2,170,99.0,t,flexible
12871394,35.56694,-82.54205999999999,28803,Asheville,28803.0,Townhouse,Entire home/apt,4,1,1.0,145.0,2013-08-04,t,2,2,170,98.0,f,moderate
12918380,35.58611,-82.58079000000001,28806,Asheville,28806.0,Guest suite,Entire home/apt,3,1,1.0,125.0,2016-05-07,t,2,2,186,99.0,t,strict_14_with_grace_period
12925044,35.45429,-82.50108,28704,Arden,28704.0,House,Entire home/apt,4,3,2.0,135.0,2014-04-11,t,2,2,75,100.0,t,flexible
12944995,35.64383,-82.47885,28805,Asheville,28805.0,House,Entire home/apt,2,0,1.0,59.0,2015-07-30,t,2,2,193,95.0,f,strict_14_with_grace_period
12965736,35.60476,-82.47097,28805,Asheville,28805.0,Apartment,Entire home/apt,2,1,1.0,85.0,2014-11-15,t,2,3,314,100.0,t,moderate
12970301,35.58741,-82.6162,28806,Asheville,28806.0,Apartment,Entire home/apt,4,1,1.0,40.0,2011-08-12,f,2,30,138,98.0,f,strict_14_with_grace_period
12989718,35.57893,-82.59564,28806,Asheville,28806.0,House,Shared room,1,1,2.5,27.0,2011-06-26,t,1,1,61,94.0,t,moderate
13010670,35.46802,-82.46502,28732,Fletcher,28732.0,House,Entire home/apt,16,6,4.5,775.0,2016-04-13,t,1,2,36,100.0,f,strict_14_with_grace_period
13017092,35.60796,-82.54444000000001,28801,Asheville,28801.0,Apartment,Entire home/apt,4,2,1.0,175.0,2016-05-13,t,1,2,123,99.0,t,flexible
13044640,35.5806,-82.59733,28806,Asheville,28806.0,Bungalow,Private room,5,2,1.0,140.0,2014-09-15,t,4,1,19,97.0,f,moderate
13093505,35.5917,-82.55409,28801,Asheville,28801.0,Apartment,Entire home/apt,4,1,1.0,129.0,2014-10-29,t,2,1,320,99.0,t,moderate
13093999,35.60915,-82.51155,28805,Asheville,28805.0,Cabin,Entire home/apt,2,0,1.0,109.0,2014-01-14,t,1,2,55,100.0,f,strict_14_with_grace_period
13112074,35.63109,-82.5283,28804,Asheville,28804.0,House,Entire home/apt,2,1,1.0,145.0,2016-05-19,t,1,2,110,98.0,t,moderate
13122771,35.40976,-82.49497,28732,Fletcher,28732.0,Apartment,Entire home/apt,6,3,2.0,112.0,2016-05-18,f,1,1,12,94.0,f,flexible
13136198,35.57506,-82.61024,28806,Asheville,28806.0,Apartment,Entire home/apt,4,1,1.0,97.0,2016-05-11,t,2,2,194,99.0,t,moderate
13149407,35.57294,-82.59836,28806,Asheville,28806.0,Guest suite,Entire home/apt,2,1,1.0,95.0,2016-05-22,t,2,2,128,99.0,t,moderate
13186091,35.58572,-82.56996,28806,Asheville,28806.0,Guest suite,Entire home/apt,2,1,1.0,94.0,2015-12-20,t,1,3,53,99.0,f,strict_14_with_grace_period
13206560,35.59502,-82.55315999999999,28801,Asheville,28801.0,Loft,Entire home/apt,4,1,1.0,172.0,2012-05-06,t,2,1,356,99.0,f,strict_14_with_grace_period
13209712,35.60582,-82.57046,28801,Asheville,28801.0,House,Private room,2,1,1.0,55.0,2016-05-25,f,1,2,235,93.0,t,strict_14_with_grace_period
13216889,35.642340000000004,-82.53083000000001,28804,Asheville,28804.0,House,Private room,1,1,1.0,52.0,2013-08-31,f,1,2,67,96.0,f,moderate
13224612,35.5784,-82.60467,28806,Asheville,28806.0,House,Private room,2,1,1.0,80.0,2016-02-17,t,1,2,40,96.0,f,strict_14_with_grace_period
13225039,35.566790000000005,-82.5288,28803,Asheville,28803.0,House,Entire home/apt,4,2,1.0,125.0,2016-05-26,f,4,2,23,97.0,f,moderate
13231021,35.55623,-82.49189,28803,Asheville,28803.0,House,Entire home/apt,8,3,2.0,150.0,2014-04-26,t,6,2,70,99.0,t,flexible
13234214,35.43748,-82.57876999999999,28704,Arden,28704.0,Guest suite,Entire home/apt,4,2,1.0,160.0,2014-06-23,f,4,2,3,93.0,t,strict_14_with_grace_period
13236835,35.586690000000004,-82.59909,28806,Asheville,28806.0,House,Private room,3,1,1.0,55.0,2016-03-24,f,2,2,29,97.0,f,flexible
13251709,35.6042,-82.56954,28801,Asheville,28801.0,Apartment,Private room,2,1,1.0,55.0,2016-05-25,f,1,1,221,95.0,t,strict_14_with_grace_period
13258472,35.6114,-82.52365999999999,28805,Asheville,28805.0,Guest suite,Entire home/apt,2,1,1.5,69.0,2012-03-23,t,2,1,320,98.0,f,strict_14_with_grace_period
13260302,35.52754,-82.48170999999999,28803,Asheville,28803.0,Guesthouse,Entire home/apt,2,0,1.0,75.0,2014-06-17,t,1,2,168,97.0,t,moderate
13274313,35.59783,-82.56596,28801,Asheville,28801.0,Guest suite,Entire home/apt,2,1,1.0,127.0,2014-06-06,t,1,2,133,100.0,f,strict_14_with_grace_period
13279595,35.55772,-82.478,28803,Asheville,28803.0,House,Private room,2,1,1.0,89.0,2016-05-30,t,2,1,137,100.0,t,flexible
13312601,35.457640000000005,-82.54411999999999,28704,Arden,28704.0,House,Entire home/apt,6,3,1.0,155.0,2016-06-01,t,4,2,103,99.0,t,moderate
13326253,35.5816,-82.59863,28806,Asheville,28806.0,Apartment,Entire home/apt,4,1,1.0,79.0,2012-03-06,f,2,2,141,96.0,f,strict_14_with_grace_period
13333422,35.57314,-82.57685,28806,Asheville,28806.0,House,Entire home/apt,2,1,1.0,90.0,2016-06-02,f,2,1,102,98.0,f,moderate
13340576,35.59681,-82.61579,28806,Asheville,28806.0,Apartment,Entire home/apt,2,1,1.0,85.0,2014-02-25,t,1,1,149,97.0,f,moderate
13345957,35.60372,-82.61135999999999,28806,Asheville,28806.0,House,Private room,3,1,1.0,60.0,2016-06-03,t,2,1,83,99.0,t,moderate
13348419,35.633759999999995,-82.56681999999999,28804,Asheville,28804.0,Guest suite,Entire home/apt,3,1,1.0,130.0,2016-02-06,t,2,2,64,96.0,t,moderate
13355384,35.58185,-82.59845,28806,Asheville,28806.0,Apartment,Entire home/apt,6,2,2.0,129.0,2012-03-06,f,4,2,152,94.0,f,flexible
13359588,35.60321,-82.61004,28806,Asheville,28806.0,House,Private room,3,1,1.0,60.0,2016-06-03,t,2,2,82,99.0,t,moderate
13386987,35.55028,-82.53307,28803,Asheville,28803.0,Guesthouse,Entire home/apt,2,1,1.0,70.0,2011-10-25,f,1,30,104,91.0,f,moderate
13388627,35.59437,-82.56054,28801,Asheville,28801.0,Apartment,Entire home/apt,4,2,1.0,132.0,2015-04-27,f,1,3,60,95.0,t,super_strict_30
13426466,35.60098,-82.56173000000001,28801,Asheville,28801.0,Loft,Entire home/apt,2,0,1.0,125.0,2016-06-08,f,1,30,32,99.0,f,flexible
13429035,35.479459999999996,-82.51432,28704,Arden,28704.0,Cottage,Entire home/apt,4,2,1.5,160.0,2014-08-02,f,1,3,23,96.0,f,strict_14_with_grace_period
13479400,35.57345,-82.58165,28806,Asheville,28806.0,House,Entire home/apt,4,2,1.0,119.0,2016-04-13,f,2,2,35,97.0,f,moderate
13514183,35.59437,-82.56054,28801,Asheville,28801.0,Apartment,Entire home/apt,4,2,1.0,132.0,2015-04-27,f,1,3,70,96.0,t,super_strict_30
13524286,35.59437,-82.56054,28801,Asheville,28801.0,Apartment,Entire home/apt,4,2,1.0,132.0,2015-04-27,f,1,3,57,93.0,t,super_strict_30
13533084,35.60908,-82.55939000000001,28801,Asheville,28801.0,House,Entire home/apt,4,2,2.0,274.0,2015-01-08,f,1,2,18,97.0,t,moderate
13556933,35.63449,-82.53648000000001,28804,Asheville,28804.0,Guest suite,Private room,2,1,1.0,59.0,2016-06-16,t,1,1,170,100.0,t,moderate
