id,latitude,longitude,neighbourhood_cleansed,city,zipcode,property_type,room_type,accommodates,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
38585,35.65146,-82.62791999999999,28804,Asheville,28804.0,House,Private room,2,1,1.0,50.0,2010-07-13,t,1,1,138,96.0,f,moderate
80905,35.59779,-82.5554,28801,Asheville,28801.0,Loft,Entire home/apt,12,3,2.0,765.0,2011-03-07,t,6,1,108,96.0,t,super_strict_60
108061,35.6067,-82.55563000000001,28801,Asheville,28801.0,Apartment,Entire home/apt,2,1,1.0,75.0,2010-12-16,f,2,30,89,90.0,f,strict_14_with_grace_period
155305,35.57864,-82.59578,28806,Asheville,28806.0,Guesthouse,Entire home/apt,2,1,1.0,107.0,2011-06-26,t,2,1,240,90.0,t,moderate
156805,35.57864,-82.59578,28806,Asheville,28806.0,House,Private room,2,1,2.5,71.0,2011-06-26,t,2,1,67,90.0,t,moderate
156926,35.57864,-82.59578,28806,Asheville,28806.0,House,Shared room,1,1,2.5,26.0,2011-06-26,t,1,1,292,94.0,t,moderate
160594,35.61442,-82.54127,28801,Asheville,28801.0,House,Private room,2,1,1.0,125.0,2011-07-02,f,1,30,58,99.0,f,moderate
209068,35.618559999999995,-82.55275999999999,28804,Asheville,28804.0,Guest suite,Entire home/apt,4,1,1.0,134.0,2011-08-28,f,2,7,54,97.0,f,strict_14_with_grace_period
213006,35.58345,-82.59713,28806,Asheville,28806.0,Bungalow,Private room,1,1,1.0,46.0,2011-09-01,t,1,1,137,97.0,f,moderate
246315,35.59635,-82.50655,28805,Asheville,28805.0,Cabin,Private room,2,1,1.0,65.0,2011-10-14,f,1,3,57,93.0,f,strict_14_with_grace_period
295496,35.55537,-82.53539,28803,Asheville,28803.0,Apartment,Entire home/apt,2,1,1.0,50.0,2011-12-13,f,1,28,31,93.0,f,strict_14_with_grace_period
304379,35.644529999999996,-82.52586,28804,Asheville,28804.0,Guesthouse,Entire home/apt,4,2,1.0,289.0,2012-01-04,t,3,30,24,98.0,f,moderate
427497,35.49111,-82.48438,28803,Asheville,28803.0,Guest suite,Entire home/apt,2,1,1.0,125.0,2012-03-12,f,2,2,37,99.0,t,moderate
436476,35.601820000000004,-82.56174,28801,Asheville,28801.0,Guest suite,Entire home/apt,2,1,1.5,96.0,2011-04-02,t,2,5,285,98.0,f,moderate
483384,35.56118,-82.57784000000001,28803,Asheville,28806.0,Cottage,Entire home/apt,3,1,1.0,115.0,2011-03-27,t,2,2,444,100.0,t,flexible
495111,35.60371,-82.55621,28801,Asheville,28801.0,House,Private room,2,0,1.0,95.0,2014-03-06,t,2,1,323,98.0,f,moderate
528535,35.60075,-82.5539,28801,Asheville,28801.0,Guest suite,Entire home/apt,2,1,1.0,99.0,2012-06-10,f,1,30,351,93.0,f,moderate
539020,35.57318,-82.59976,28806,Asheville,28806.0,Apartment,Entire home/apt,4,1,1.0,100.0,2012-06-15,t,2,2,185,96.0,f,flexible
621243,35.60418,-82.54964,28801,Asheville,28801.0,Apartment,Entire home/apt,2,1,1.0,132.0,2012-07-28,f,2,30,68,97.0,t,strict_14_with_grace_period
634319,35.62839,-82.47989,28805,Asheville,28805.0,Apartment,Entire home/apt,4,2,1.5,150.0,2011-09-24,f,4,3,30,99.0,f,strict_14_with_grace_period
660702,35.62166,-82.55373,28804,Asheville,28804.0,House,Entire home/apt,4,1,1.0,75.0,2012-08-21,t,2,1,434,94.0,t,moderate
674894,35.62272,-82.50285,28805,Asheville,28805.0,House,Private room,2,1,1.0,49.0,2011-05-22,f,2,2,172,92.0,f,flexible
