id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,review_scores_rating,cancellation_policy
16037508,Home for 6-7 People in South Asheville,37737144,Kwadwo,7/6/2015,within a few hours,100%,78%,t,Arden,28704,35.47564,-82.50121,House,Private room,9,2,3,$120.00 ,,$5.00 ,98,flexible
16147877,Sandy's Place,27942972,Candace,2/18/2015,within a few hours,100%,94%,t,Asheville,28803,35.57903,-82.53332,Apartment,Entire home/apt,4,1,2,$125.00 ,$150.00 ,$50.00 ,100,moderate
16155218,Great One Bedroom Get-Away,2635351,Bob,6/14/2012,within a few hours,100%,100%,t,Asheville,28806,35.48866,-82.59219,Apartment,Entire home/apt,4,1,1,$100.00 ,$0.00 ,$50.00 ,98,strict_14_with_grace_period
16186167,Check in a stranger leave a friend!,48579050,Melissa,11/9/2015,within an hour,88%,97%,f,Arden,28704,35.48402,-82.52789,House,Private room,2,1.5,1,$40.00 ,,,89,flexible
16203903,The Parkwood Tree House,105838974,Leland,12/1/2016,within an hour,97%,96%,t,Woodfin,28804,35.63599,-82.58341,House,Entire home/apt,6,2,2,$109.00 ,$500.00 ,$100.00 ,97,strict_14_with_grace_period
16211914,Discover Asheville from the Urban Craftsman,100026513,Bob,10/17/2016,within an hour,100%,100%,t,Asheville,28801,35.60445,-82.54428,House,Entire home/apt,4,1,2,$110.00 ,$400.00 ,$50.00 ,99,strict_14_with_grace_period
16267469,"1 BDRM, 2 miles to DWTN. Great for nurse/doc",22763355,Nessa,10/20/2014,within an hour,100%,67%,t,Asheville,28803,35.56353,-82.51167,House,Entire home/apt,2,1,1,$54.00 ,$250.00 ,$150.00 ,100,strict_14_with_grace_period
16267550,Lush Bohemian Downstairs Rooms - Near West AVL,106302016,Veris & Ahinka,12/5/2016,N/A,N/A,92%,t,Asheville,28806,35.57271,-82.61429,House,Private room,4,1,1,$66.00 ,$0.00 ,$0.00 ,97,strict_14_with_grace_period
16284468,Downton Shabby,100789740,Carrie,10/22/2016,within an hour,100%,100%,t,Asheville,28806,35.59344,-82.66057,House,Entire home/apt,5,2,2,$99.00 ,$200.00 ,$75.00 ,98,moderate
16294435,"Retro Asheville Ranch - 3 bedrooms, lots of room!",42678716,JC And John,8/27/2015,within a few hours,100%,100%,t,Arden,28704,35.47318,-82.50433,House,Entire home/apt,6,1,3,$100.00 ,$150.00 ,$100.00 ,97,strict_14_with_grace_period
16350883,The exact location you want to be!,5885539,Amber,4/11/2013,within an hour,100%,100%,f,Asheville,28806,35.57393,-82.57212,Guest suite,Entire home/apt,2,1,1,$120.00 ,,$25.00 ,96,moderate
16378928,Best views in South Asheville,61848035,Jack,3/6/2016,within an hour,100%,100%,f,Asheville,28803,35.48461,-82.50869,House,Entire home/apt,4,1,2,$195.00 ,,$100.00 ,100,moderate
16384751,Comfortable room with queen bed,106333993,Rob,12/5/2016,within a few hours,100%,100%,t,Asheville,28806,35.58369,-82.60793,House,Private room,2,1,1,$35.00 ,,$15.00 ,97,flexible
16446590,MicroLuxe in Heart of Downtown,427027,Celeste,3/7/2011,within an hour,100%,98%,t,Asheville,28801,35.5967,-82.55473,Apartment,Entire home/apt,2,1,1,$170.00 ,$100.00 ,$0.00 ,100,super_strict_60
16451105,Luxury in an Artist's Loft as Base for Exploring Asheville,1329460,Lynne,10/24/2011,within an hour,100%,100%,t,Asheville,28801,35.59592,-82.55394,Condominium,Entire home/apt,5,1,2,$175.00 ,$300.00 ,$100.00 ,100,moderate
16476358,Private Suite: Walk to Biltmore and Breweries,41653391,Michael And Amanda,8/16/2015,within an hour,100%,96%,t,Asheville,28803,35.56713,-82.52681,Apartment,Entire home/apt,2,1,1,$98.00 ,$125.00 ,$40.00 ,97,moderate
16477857,Live in a Work of Art!,108161472,Sam,12/22/2016,within an hour,90%,100%,t,Asheville,28801,35.59878,-82.5639,House,Entire home/apt,5,1,2,$139.00 ,$100.00 ,$50.00 ,98,strict_14_with_grace_period
16490888,Mountain View Bungalow in Town,6543726,Monica,5/23/2013,within a day,83%,84%,f,Asheville,28805,35.60243,-82.53373,Bungalow,Entire home/apt,14,3,4,$295.00 ,$400.00 ,$240.00 ,97,strict_14_with_grace_period
16505517,Stay on Most Scenic Mountain within City Limits,24671631,Crissy,12/9/2014,N/A,N/A,N/A,f,Asheville,28804,35.61465,-82.53209,House,Private room,2,1,1,$90.00 ,,,93,moderate
16506906,Tiny Cottage Above Artisan Bakery,10041525,Michele,11/15/2013,within a few hours,83%,99%,t,Asheville,28806,35.57775,-82.64679,Guest suite,Entire home/apt,4,1,2,$99.00 ,$0.00 ,$40.00 ,95,moderate
16512718,Quiet North Asheville Retreat,32179484,Kevin,4/29/2015,within a few hours,100%,100%,t,Asheville,28804,35.65037,-82.55007,Guesthouse,Entire home/apt,2,1,1,$100.00 ,$0.00 ,$30.00 ,100,moderate
16532936,Cozy 3Bed+2b But yet So convenient,28704049,Vince,3/3/2015,N/A,N/A,100%,t,Asheville,28806,35.53226,-82.61044,House,Entire home/apt,6,2,3,$100.00 ,$300.00 ,$75.00 ,97,moderate
16533200,Mountain Getaway close to downtown and Grove Park,108761817,Morris,12/27/2016,within an hour,100%,97%,f,Asheville,28804,35.62779,-82.52998,Guest suite,Entire home/apt,4,1,2,$95.00 ,$100.00 ,$60.00 ,93,strict_14_with_grace_period
16559799,"Acorn Acre Organic Tiny House, edge of Asheville",45138420,Bonnie,9/26/2015,N/A,N/A,N/A,f,Asheville,28803,35.55069,-82.5143,Guesthouse,Entire home/apt,3,1,0,$80.00 ,$0.00 ,$20.00 ,99,moderate
16566334,Comfy Asheville Cottage with Private Fenced Yard,15086526,Smithson,5/4/2014,within an hour,100%,99%,t,Asheville,28806,35.54921,-82.62796,House,Entire home/apt,7,1,2,$124.00 ,$0.00 ,$50.00 ,100,flexible
16566932,West Asheville Carriage House,109123783,Beverly,12/30/2016,within an hour,100%,99%,t,Asheville,28806,35.58019,-82.60886,Apartment,Entire home/apt,4,1,2,$137.00 ,$500.00 ,$60.00 ,96,strict_14_with_grace_period
16587446,Spacious Downtown Asheville Loft,78507878,Andrew & Ashlie,6/18/2016,within an hour,100%,99%,t,Asheville,28801,35.59549,-82.55288,Loft,Entire home/apt,4,2,2,$310.00 ,$600.00 ,$120.00 ,100,strict_14_with_grace_period
16603497,Treehouse Chalet above Downtown!,8051732,Pamela,8/9/2013,within an hour,100%,94%,t,Asheville,28805,35.59444,-82.53809,House,Entire home/apt,2,1,1,$109.00 ,$250.00 ,$49.00 ,99,strict_14_with_grace_period
16603859,Historic 1950s Tiny Home - $6 Uber to Downtown,8051732,Pamela,8/9/2013,within an hour,100%,94%,t,Asheville,28805,35.59389,-82.53743,House,Entire home/apt,2,1,1,$169.00 ,$250.00 ,$49.00 ,99,strict_14_with_grace_period
16627563,Walking Distance To Downtown-South Slope-River Art,30073217,Kendra & Kyle,3/26/2015,within a few hours,100%,100%,t,Asheville,28801,35.58873,-82.55911,House,Private room,2,1,1,$85.00 ,$0.00 ,$0.00 ,100,moderate
16636978,Cozy private apartment minutes from Sierra Nevada,59949913,Ashley,2/22/2016,within an hour,100%,80%,f,Fletcher,28732,35.43193,-82.52656,House,Private room,3,1,1,$60.00 ,,$30.00 ,93,moderate
16652322,Boho-Chic Downtown Loft,427027,Celeste,3/7/2011,within an hour,100%,98%,t,Asheville,28801,35.5967,-82.55473,Apartment,Entire home/apt,2,1,1,$230.00 ,$100.00 ,$0.00 ,100,super_strict_60
16660917,"Sweet Cottage With Hot Tub, Near Downtown",16526258,Amanda,6/8/2014,within a day,100%,100%,t,Woodfin,28804,35.63011,-82.58169,Cottage,Entire home/apt,4,1,3,$150.00 ,$0.00 ,$90.00 ,97,moderate
16663252,Walkable West Asheville Home in the Trees,16954978,Phaedra,6/18/2014,within a day,100%,100%,t,Asheville,28806,35.58287,-82.5959,House,Entire home/apt,6,2,3,$120.00 ,$500.00 ,$250.00 ,100,strict_14_with_grace_period
16733596,Boutique Room in Tranquil Surroundings Three Blocks to Town,1884805,Elizabeth,3/8/2012,within an hour,100%,100%,t,Asheville,28801,35.5983,-82.5583,House,Private room,2,1,1,$95.00 ,$0.00 ,$10.00 ,99,moderate
16810083,EXPLORE ASHEVILLE,84799065,Cameron & Sarah,7/19/2016,within an hour,100%,100%,t,Asheville,28801,35.57399,-82.55849,House,Private room,2,1,1,$69.00 ,,$20.00 ,99,moderate
16826141,Stunning Barn Loft Just Outside of Asheville,49736754,Joy,11/23/2015,within a day,100%,100%,t,Asheville,28815,35.58632,-82.48717,House,Entire home/apt,6,3,1,$250.00 ,,$50.00 ,100,moderate
16832848,The Rockwell- Spacious River Arts District Home,81192738,Josh And Suzanna,7/1/2016,within a few hours,100%,79%,t,Asheville,28806,35.58136,-82.5702,House,Entire home/apt,6,2.5,2,$200.00 ,$250.00 ,$100.00 ,99,strict_14_with_grace_period
16846899,Oasis close to downtown,112183018,Melissa,1/18/2017,within an hour,100%,99%,t,Asheville,28801,35.60795,-82.56086,House,Entire home/apt,6,1,2,$150.00 ,$0.00 ,$0.00 ,98,moderate
16868257,Taylor Ranch Retreat - Secluded yet close to Asheville,112407742,William,1/20/2017,within a few hours,100%,99%,f,Fletcher,28732,35.46213,-82.46833,House,Entire home/apt,8,2,3,$178.00 ,$250.00 ,$145.00 ,92,strict_14_with_grace_period
16879450,••The Humble Abode•• cozy & quaint,29598359,Susann,3/18/2015,N/A,N/A,63%,f,Asheville,28803,35.56166,-82.50971,House,Entire home/apt,6,1,2,$225.00 ,,$175.00 ,96,strict_14_with_grace_period
16937948,Avery's Creek-Swimming Pool/Hot tub-Close To Asheville & Shopping/Food/Hiking.,96187307,Steve,9/21/2016,within an hour,99%,100%,t,Arden,28704,35.44121,-82.57294,House,Entire home/apt,22,4,6,$568.00 ,$0.00 ,$0.00 ,98,super_strict_60
16937957,Cove Cottage - Charming Cottage Located Right Outside Downtown Asheville; easy access!,96187307,Steve,9/21/2016,within an hour,99%,100%,t,Asheville,28805,35.6103,-82.52244,House,Entire home/apt,8,3,3,$148.00 ,$0.00 ,$0.00 ,95,super_strict_60
16937995,"Upstream Cottage; Asheville & River Arts-Close to everything! Breweries, eateries, hiking!",96187307,Steve,9/21/2016,within an hour,99%,100%,t,Asheville,28806,35.56783,-82.56626,House,Entire home/apt,6,2,3,$220.00 ,$0.00 ,$0.00 ,97,super_strict_60
16977918,Cedar Cabin with Forest Canopy Deck,4331962,Johnny,12/5/2012,within an hour,100%,100%,t,Asheville,28805,35.6138,-82.52098,Cabin,Entire home/apt,6,1,2,$149.00 ,"$1,850.00 ",$90.00 ,99,strict_14_with_grace_period
17036413,"Clean, Comfy and Convenient S. Asheville Condo",52034787,Jessie,12/22/2015,within an hour,100%,93%,t,Arden,28704,35.46838,-82.51056,Condominium,Entire home/apt,4,1.5,2,$89.00 ,$100.00 ,$55.00 ,97,moderate
17039544,Casa Gaia Apothecary Corner,114343280,Hannah,2/1/2017,N/A,N/A,N/A,f,Asheville,28806,35.58524,-82.58653,House,Private room,2,1.5,1,$55.00 ,,$15.00 ,100,flexible
17095670,Downtown Escape!,46001530,Jonathan,10/7/2015,within an hour,100%,100%,f,Asheville,28801,35.59407,-82.55741,Apartment,Entire home/apt,4,1,1,$125.00 ,$0.00 ,$50.00 ,93,strict_14_with_grace_period
17116810,Beaucatcher Mountain Retreat,114884102,Debbie,2/4/2017,within an hour,100%,90%,t,Asheville,28805,35.59648,-82.53603,House,Private room,2,1,1,$78.00 ,$100.00 ,$25.00 ,99,moderate
17124352,Comfy and Tidy Room in Sunny Peaceful Home,110533742,Kat,1/8/2017,N/A,N/A,N/A,f,Asheville,28806,35.58307,-82.61051,House,Private room,2,1,1,$40.00 ,$0.00 ,$10.00 ,96,flexible
17140023,Beautiful Home in Historic Montford by Downtown,115227864,Penny,2/6/2017,within a few hours,100%,100%,t,Asheville,28801,35.59993,-82.55895,House,Entire home/apt,5,2,2,$70.00 ,$200.00 ,$50.00 ,99,moderate
17155164,Beautiful Mountain Views 5 Minutes to Downtown,21539203,Dorothy,9/19/2014,within an hour,100%,100%,t,Asheville,28805,35.59236,-82.53623,Apartment,Entire home/apt,2,1,0,$99.00 ,,$40.00 ,98,strict_14_with_grace_period
17157429,"Explore AVL from this Stylish, Cozy Apartment",106315653,Jennifer,12/5/2016,within an hour,100%,98%,f,Asheville,28801,35.60338,-82.54882,Apartment,Entire home/apt,2,1,1,$129.00 ,$0.00 ,$65.00 ,100,moderate
17240001,Modern Suite In Walkable Community Minutes To DT,31330448,Chris,4/16/2015,N/A,N/A,N/A,f,Asheville,28801,35.60267,-82.57156,Guest suite,Entire home/apt,2,1,1,$115.00 ,$250.00 ,$40.00 ,99,moderate
17251841,The Green Bungalow,40593086,Audra,8/5/2015,N/A,N/A,N/A,f,Asheville,28803,35.55617,-82.53177,Bungalow,Private room,2,1,1,$60.00 ,,$10.00 ,97,moderate
17310280,Tiny House - Giant Views,21600570,Kim,9/21/2014,within an hour,100%,100%,t,Asheville,28804,35.62254,-82.5334,Guesthouse,Entire home/apt,2,1,1,$185.00 ,$100.00 ,$65.00 ,99,moderate
17345566,Skye Haven - Views! Romantic getaway 3 mi. to town,117176518,Marilyn,2/19/2017,N/A,N/A,100%,f,Asheville,28804,35.62624,-82.52058,House,Entire home/apt,2,1,1,$249.00 ,$300.00 ,$85.00 ,100,strict_14_with_grace_period
17364637,Apartment with Private entrance and Private Bath.,117325142,Kern And Anne,2/20/2017,within an hour,100%,100%,t,Asheville,28806,35.59442,-82.63269,Apartment,Entire home/apt,2,1,1,$72.00 ,$0.00 ,$0.00 ,99,moderate
17364692,Lovely city garden apartment at the Little Farm,4314310,L J,12/3/2012,within an hour,100%,100%,t,Asheville,28803,35.57507,-82.53515,House,Entire home/apt,4,1,1,$75.00 ,$0.00 ,$25.00 ,96,moderate
17395670,Charming Red Roof Home In Tiny Farms,41521900,Yasmin,8/15/2015,within an hour,100%,95%,t,Asheville,28806,35.61676,-82.64108,Apartment,Entire home/apt,3,1,2,$95.00 ,$0.00 ,$0.00 ,99,strict_14_with_grace_period
17403585,ADVENTURE LAUNCH PAD,117659309,Helen,2/22/2017,within an hour,100%,99%,t,Asheville,28806,35.61801,-82.58256,House,Entire home/apt,9,3,3,$250.00 ,$250.00 ,$125.00 ,98,moderate
17416267,Downtown and Biltmore Just Down the Road!,25041828,Sarah,12/20/2014,within an hour,100%,100%,t,Asheville,28803,35.56657,-82.52245,Guesthouse,Entire home/apt,3,1,1,$73.00 ,$200.00 ,$75.00 ,96,moderate
17446056,Front Porch Charm,21600570,Kim,9/21/2014,within an hour,100%,100%,t,Woodfin,28804,35.62945,-82.58737,House,Entire home/apt,8,2,3,$167.00 ,$250.00 ,$150.00 ,97,moderate
17464124,Tiny House - Must Love Dogs,78245506,Amy,6/17/2016,within a few hours,100%,100%,t,Asheville,28806,35.62505,-82.62981,Tiny house,Entire home/apt,2,1,0,$125.00 ,$100.00 ,$50.00 ,99,moderate
17476061,Charming Craftsman in Montford. Walk to downtown.,113604576,Gayla,1/28/2017,N/A,N/A,39%,t,Asheville,28801,35.59267,-82.5675,House,Private room,2,2.5,2,$54.00 ,$250.00 ,$50.00 ,99,moderate
17494425,Another room in a 1910 House near downtown,96812198,Charlotte,9/26/2016,within an hour,100%,100%,t,Asheville,28801,35.60648,-82.55804,House,Private room,2,1,1,$55.00 ,,$20.00 ,99,moderate
17529983,Garden Apt in Historic Neighborhood of Asheville,16023445,Tara,5/26/2014,within a few hours,100%,96%,t,Asheville,28801,35.61189,-82.55137,Apartment,Entire home/apt,2,1.5,1,$75.00 ,$250.00 ,$50.00 ,100,moderate
17545740,"Comfortable, quiet room close to area attractions",73408000,Lorraine,5/22/2016,N/A,N/A,N/A,f,Fletcher,28732,35.427,-82.51091,House,Private room,2,1,1,$38.00 ,$200.00 ,$0.00 ,,flexible
17552287,Family Friendly Apartment in Beautiful North Asheville,119106320,Alison,3/4/2017,within an hour,100%,100%,t,Asheville,28804,35.63834,-82.54864,House,Private room,4,1,1,$65.00 ,$0.00 ,$25.00 ,99,moderate
17591050,Historic Home Near Downtown Asheville Pvt Bed/Bath,119510171,Debbie,3/6/2017,within a few hours,100%,97%,t,Asheville,28801,35.61217,-82.55136,House,Private room,3,1,1,$52.00 ,$0.00 ,$18.00 ,99,flexible
17606368,"Hidden Cove on the doorstep of Downtown Asheville; HOT TUB, Game Rm, LUXURY!",96187307,Steve,9/21/2016,within an hour,99%,100%,t,Asheville,28805,35.61614,-82.52062,House,Entire home/apt,10,4,4,$627.00 ,$0.00 ,$0.00 ,99,super_strict_60
17618702,Mountain Chalet close to Biltmore,71812166,Heidi & Ricky,5/13/2016,within an hour,100%,99%,t,Asheville,28806,35.5565,-82.60182,Chalet,Entire home/apt,8,3.5,4,$375.00 ,$250.00 ,$200.00 ,99,strict_14_with_grace_period
17634705,"Warm, Relaxed Home in West Asheville",74769459,Ellen,5/30/2016,within a few hours,100%,100%,t,Asheville,28806,35.5807,-82.59487,Bungalow,Entire home/apt,2,1,1,$99.00 ,$0.00 ,$65.00 ,100,strict_14_with_grace_period
17638102,True Asheville B&B- Wall Street Room- 2nd Floor,1786031,Emilie,2/21/2012,N/A,N/A,100%,t,Asheville,28801,35.60266,-82.5505,Bed and breakfast,Private room,2,1,1,$209.00 ,$0.00 ,$45.00 ,,strict_14_with_grace_period
17638575,West Side Botanical Retreat,82111852,Melissa,7/6/2016,N/A,N/A,N/A,f,Asheville,28806,35.57986,-82.60331,House,Entire home/apt,6,1,2,$200.00 ,$600.00 ,$135.00 ,96,strict_14_with_grace_period
17648416,Enjoy the Old Fashioned Wood Burning Stove in Cozy Bungalow,1786031,Emilie,2/21/2012,N/A,N/A,100%,t,Asheville,28801,35.60224,-82.54886,Apartment,Entire home/apt,2,1,1,$999.00 ,$200.00 ,$45.00 ,100,strict_14_with_grace_period
17649947,Private Studio–Walk to West Asheville,71857225,Robert,5/13/2016,within a few hours,100%,100%,f,Asheville,28806,35.58454,-82.60553,Apartment,Entire home/apt,2,1,1,$74.00 ,$0.00 ,$50.00 ,99,strict_14_with_grace_period
17653835,Just West of West Asheville Studio,35987403,Betsy,6/16/2015,within an hour,100%,100%,t,Asheville,28806,35.56778,-82.63225,Apartment,Entire home/apt,4,1,0,$80.00 ,$0.00 ,$30.00 ,98,flexible
17697321,"""Super Close to Everything,""  Private Studio",93554832,Anne Marie,9/4/2016,within an hour,100%,100%,t,Asheville,28805,35.57938,-82.53899,Apartment,Entire home/apt,2,1,1,$87.00 ,$0.00 ,$30.00 ,100,flexible
17718592,"Comfy 4br Home, Great Location, 15 min to Downtown",5850001,Julie,4/9/2013,within an hour,100%,100%,f,Asheville,28806,35.56938,-82.63659,House,Entire home/apt,7,2,4,$99.00 ,,$60.00 ,97,moderate
17726977,Cozy Private Suite Near Biltmore & Downtown,4448420,Jane,12/19/2012,within a few hours,100%,100%,t,Asheville,28803,35.56435,-82.51964,House,Private room,2,1,1,$95.00 ,$100.00 ,$40.00 ,96,flexible
17743775,Orchard House,25198720,Cooper,12/25/2014,N/A,N/A,N/A,f,Asheville,28805,35.65381,-82.47661,House,Entire home/apt,7,3.5,4,$149.00 ,,,,strict_14_with_grace_period
17780854,Serene Private Bed & Bath for Female Travelers,87524887,Lisa,8/2/2016,within an hour,100%,100%,t,Asheville,28805,35.64479,-82.47351,House,Private room,2,1,1,$60.00 ,$0.00 ,$10.00 ,98,flexible
17787933,Urban Oasis in Asheville,12844896,Stephanie,3/5/2014,within a few hours,100%,100%,t,Asheville,28804,35.64559,-82.52322,Guest suite,Entire home/apt,2,1,1,$100.00 ,$0.00 ,$45.00 ,99,moderate
17794306,Beer City Room - Heart of West Asheville!,109638953,Guy,1/3/2017,within a day,50%,95%,t,Asheville,28806,35.58291,-82.59226,Bungalow,Entire home/apt,5,1,1,$90.00 ,$150.00 ,$25.00 ,96,flexible
17826503,Charland Chalet Guesthouse 5 Min to Town & BRP,19159885,Elaine,7/30/2014,within an hour,90%,100%,t,Asheville,28803,35.55547,-82.48416,Guest suite,Entire home/apt,8,1,2,$176.00 ,,$35.00 ,98,flexible
17861930,Magical large apartment downtown!,46001530,Jonathan,10/7/2015,within an hour,100%,100%,f,Asheville,28801,35.59426,-82.55795,Apartment,Entire home/apt,4,1,1,$135.00 ,,$75.00 ,90,strict_14_with_grace_period
17908639,Country in the City Family Fun!,13167283,Ona,3/15/2014,within an hour,100%,100%,t,Asheville,28806,35.5738,-82.62386,House,Entire home/apt,6,2,3,$180.00 ,$100.00 ,$75.00 ,97,strict_14_with_grace_period
17917678,Lovely Private Apt. - Historic Home & Neighborhood,122832025,Elizabeth,3/27/2017,within an hour,100%,100%,t,Asheville,28801,35.60876,-82.56772,Apartment,Entire home/apt,2,1,1,$130.00 ,$100.00 ,$35.00 ,99,flexible
17924964,Country Living in Asheville,375717,Jaya,2/3/2011,N/A,N/A,N/A,f,Asheville,28806,35.56623,-82.62009,House,Private room,4,1,1,$80.00 ,,$15.00 ,99,flexible
17928351,Gorgeous View & Easy Drive to Downtown!,21691039,Liesbeth,9/23/2014,N/A,N/A,100%,f,Asheville,28804,35.64978,-82.53984,Guest suite,Entire home/apt,2,1,1,$150.00 ,$0.00 ,$40.00 ,100,flexible
17935396,Retreat on Town Mountain,5522323,Jovita,3/18/2013,within an hour,100%,98%,t,Asheville,28804,35.60999,-82.53958,Guest suite,Entire home/apt,2,1,1,$145.00 ,$250.00 ,$50.00 ,99,strict_14_with_grace_period
17940913,West Asheville Bungalow Close to Everything,12885729,Ellen,3/7/2014,N/A,N/A,N/A,f,Asheville,28806,35.57748,-82.57354,House,Entire home/apt,4,1,2,$100.00 ,,$25.00 ,,flexible
17971183,Top ten - Beer city - Asheville,123412496,Sunny (Janine),3/30/2017,N/A,N/A,N/A,f,Candler,28715,35.57051,-82.65835,Apartment,Entire home/apt,6,2,3,$150.00 ,$200.00 ,$150.00 ,95,moderate
18017043,Dragonfly Cottage,37159729,Paula,6/30/2015,within an hour,100%,100%,t,Asheville,28801,35.58852,-82.55798,House,Private room,2,1,1,$90.00 ,,,99,moderate
18018230,"Dragonfly Cottage II ,  Cozy Cottage in Downtown",37159729,Paula,6/30/2015,within an hour,100%,100%,t,Asheville,28801,35.58771,-82.55785,House,Private room,2,1,1,$90.00 ,,,99,moderate
18022683,The West Asheville Loft,109123783,Beverly,12/30/2016,within an hour,100%,99%,t,Asheville,28806,35.58115,-82.60931,Loft,Entire home/apt,2,1,1,$125.00 ,$500.00 ,$45.00 ,99,strict_14_with_grace_period
18040182,NEW Contemporary Apt-AshevilleMall-7mins Downtown,39326139,Nelson,7/23/2015,within an hour,100%,97%,t,Asheville,28805,35.57946,-82.52895,Apartment,Entire home/apt,4,1,1,$90.00 ,$100.00 ,$38.00 ,98,moderate
18055958,Mountaintop Hideaway,6758788,Bonnie,6/5/2013,within a few hours,100%,100%,f,Asheville,28801,35.59561,-82.53971,Condominium,Entire home/apt,4,2,2,$145.00 ,$500.00 ,$100.00 ,96,strict_14_with_grace_period
18092896,River Arts Comfy Getaway,124606231,Colleen And Dave,4/6/2017,within an hour,100%,100%,t,Asheville,28801,35.58875,-82.56727,Bungalow,Entire home/apt,4,1,1,$105.00 ,$200.00 ,$29.00 ,98,moderate
18119864,Sunnyside,124856505,Kate,4/8/2017,N/A,N/A,33%,f,Asheville,28804,35.64745,-82.519,House,Private room,4,0,0,$64.00 ,,$75.00 ,100,moderate
18121899,Casa de Lobos - N. Asheville,42518767,Tomi,8/25/2015,N/A,N/A,87%,t,Asheville,28804,35.64542,-82.52926,Guest suite,Entire home/apt,3,1,1,$75.00 ,$500.00 ,$38.00 ,100,flexible
18122227,Close to Everything in Beautiful Asheville,124879173,Deborah,4/8/2017,N/A,N/A,100%,t,Candler,28715,35.5523,-82.63518,House,Private room,2,1,1,$60.00 ,,$10.00 ,99,flexible
18151750,Gashes Fluss Haus,36948751,Paul,6/28/2015,within an hour,100%,100%,t,Asheville,28803,35.56063,-82.48724,Farm stay,Entire home/apt,2,1,1,$120.00 ,,,100,flexible
18178954,Luxury Suite with Blissful Comforts,5366546,Raymond,3/7/2013,within an hour,100%,100%,t,Asheville,28804,35.61745,-82.55694,Guest suite,Entire home/apt,4,1,1,$129.00 ,$150.00 ,$75.00 ,99,strict_14_with_grace_period
18179308,Mountain View Getaway,123441843,Amber,3/30/2017,within a few hours,100%,100%,t,Candler,28715,35.514,-82.66135,Guest suite,Entire home/apt,4,1,2,$145.00 ,$250.00 ,$100.00 ,99,moderate
18264441,Cute Craftsman Asheville Suite,67787434,Alli,4/18/2016,within an hour,100%,99%,t,Asheville,28806,35.55403,-82.6301,House,Private room,2,1,1,$32.00 ,$0.00 ,$30.00 ,99,strict_14_with_grace_period
18305230,Mountaintop Sanctuary,49658197,Lena,11/22/2015,N/A,N/A,N/A,f,Asheville,28805,35.60437,-82.48672,House,Private room,2,1,1,$75.00 ,$200.00 ,$20.00 ,98,moderate
18308309,"Downtown Inn Asheville, NC #2-King",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59302,-82.55647,Other,Private room,2,1,1,$150.00 ,,,84,flexible
18308656,"Downtown Inn Asheville, NC #3-King",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59455,-82.55651,Other,Private room,2,1,1,$150.00 ,,,87,flexible
18308869,"Downtown Inn Asheville, NC #4-King",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59335,-82.55588,Other,Private room,2,1,1,$150.00 ,,,91,flexible
18308979,"Downtown Inn Asheville, NC #5-King",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59406,-82.5577,Other,Private room,2,1,1,$150.00 ,,,83,flexible
18309080,"Downtown Inn Asheville, NC #6-King",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59333,-82.55624,Other,Private room,2,1,1,$150.00 ,,,84,flexible
18343468,"Mid-Century Mountain, With Whiskers, Chemical Free",6732523,Rebecca,6/4/2013,N/A,N/A,N/A,f,Asheville,28803,35.56097,-82.5147,House,Private room,2,1,1,$45.00 ,$0.00 ,$20.00 ,99,moderate
18375617,Cozy Mountain Cottage,56410675,AJ & Jenn,1/27/2016,within an hour,100%,100%,t,Asheville,28803,35.53755,-82.48929,House,Entire home/apt,4,1,2,$128.00 ,$300.00 ,$65.00 ,100,moderate
18385101,ENJOY the DANCE of SUNLIGHT in East Asheville,127340971,Summer,4/24/2017,within a few hours,100%,80%,t,Asheville,28805,35.61646,-82.49527,Guesthouse,Entire home/apt,2,1,1,$102.00 ,$0.00 ,$35.00 ,98,moderate
18389884,"Downtown Inn Asheville, NC  #7-King",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59459,-82.556,Other,Private room,2,1,1,$150.00 ,,,91,flexible
18393059,Charming Arts & Crafts home in West Asheville,29296555,Kaylen,3/13/2015,within an hour,100%,100%,t,Asheville,28806,35.58103,-82.57855,House,Private room,4,1,1,$65.00 ,"$1,000.00 ",$25.00 ,99,moderate
18404153,"Downtown Inn Asheville, NC #8-Double",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.59302,-82.55767,Other,Private room,4,1,1,$150.00 ,,,93,flexible
18405483,"Downtown Inn Asheville, NC #9-Double",96305927,Narendra,9/22/2016,within an hour,100%,100%,f,Asheville,28801,35.5936,-82.55776,Other,Private room,4,1,1,$150.00 ,,,93,flexible
